case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
,,,,,,,,,,,,,,,,"Bôi đen text ""Faster"", chọn decoration ""Strikethrought""",,"- Text ""Faster"" hiển thị có gạch ngang  
- Highlight icon ""S"" tương ứng trên Quickbar",50
,,,,,,,,,,,,,,,,"Bôi đen text ""Safer"", chọn decoration "" Bold + Italic + Underline + Strike through""",,"- Text ""Safer"" hiển thị in đậm, nghiêng, có gạch chân và gạch ngang  
- Highlight icon ""S -I - U -S"" tương ứng trên Quickbar",50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
73711,1416,SB_WEB_BUILDER_BH_07,Color\_Check setting color của block Heading,1,,"Check setting text decorations của block Heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 2 column  
- Column 1 có Block Heading có input text: Your Creative writing career accelerated  
- Column 2 có block Heading có input text: You are my sunshine 

",1,0,0,0,7,187,,0,"Tại column 1, Click vào block Heading",,"Quickbar: hiển thị mã màu theo màu đã setting trong Website/ page style  
- Block Heading: text có màu theo bộ màu đã setting trong Website/ Page style

",
,,,,,,,,,,,,,,,,"Bôi đen text ""Your Creative"", click icon màu trên thanh quick bar, chọn màu số (2) trong dải màu",,"Text "" Your Creative"" hiển thị đúng màu số (2) trong dải màu",
,,,,,,,,,,,,,,,,"Bôi đen text "" my sunshine"", click icon màu, chọn custom color, chọn màu (R:219 G:57 B:57)",,"Text ""my sunshine"" hiển thị đúng màu như đã chọn  
Màu của line 1 vẫn như cũ",
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
73712,1416,SB_WEB_BUILDER_BH_08,Text align\_Check hiển thị block Heading khi setting text align,1,,"Check hiển thị block Heading khi setting text align

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, 1 block Heading  
- Block Heading có input text: Your Creative writing career accelerated

",1,0,0,0,8,187,,0,"Click vào block Heading

",,"Quickbar: highlight text align tương ứng

",50
,,,,,,,,,,,,,,,,"Trên Quickbar, chọn 1 option text align

","left, center, right

","- Highlight icon tương ứng trên Quickbar  
- Apply text align tương ứng lên vùng đã chọn

",50
,,,,,,,,,,,,,,,,"Click vào icon text align đang được highlight

",,"- Không highlight icon tương ứng trên Quickbar  
- Không apply text align tương ứng lên vùng đã chọn

",50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
73713,1416,SB_WEB_BUILDER_BH_09,Hyperlink\_Check hiển thị block Heading khi setting Hyperlink,1,,"Check hiển thị block Heading khi setting Hyperlink

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, 1 block Heading  
- Block Heading có input text: Your Creative writing career accelerated

",1,0,0,0,9,187,,0,"Tại block Heading, bôi đen vùng text  ""Your Creative"", click icon hyperlink",,Hiển thị textbox có placeholder: Insert your link here,50
,,,,,,,,,,,,,,,,Nhập link vào textbox,https://sb-svlive.onshopbase.com/,"- Text ""Your Creative "" được underline   
- Highlight icon hyperlink  
- Hyperlink riêng cho vùng text được chọn",50
,,,,,,,,,,,,,,,,"Mở ngoài SF, Click vào vùng text đã được hyperlink",,"Mở tab mới, điều hướng đến link đã input",50
,,,,,,,,,,,,,,,,"Tại block Heading, bôi đen vùng text ""Your Creative"" , click vào icon hyperlink đang highlight",,- Ko highlight icon hyperlink,50
,,,,,,,,,,,,,,,,"Ngoài SF, click vào text ""Your creative""",,Không redirect tới trang nào cả,50
,,,,,,,,,,,,,,,,,,,50
73714,1416,SB_WEB_BUILDER_BH_10,Auto listing\_Check hiển thị block Heading khi setting auto listing,1,,"Check hiển thị block Heading khi setting auto listing

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, 1 block Heading

",1,0,0,0,10,187,,0,,,,50
,,,,,,,,,,,,,,,,"Click vào edit text của block Heading A  
Click chọn bullet order list

",,"- Text giữa nguyên style có thêm number 1. phía trước  
- Highlight icon order list trên quickbar

",50
,,,,,,,,,,,,,,,,"Enter xuống dòng, nhập text ""Edit more""",,"Tự động nhảy số lần lượt khi enter xuống dòng

",50
,,,,,,,,,,,,,,,,"- Click ""edit text"" ở block Heading B  
- Click chọn bullet list

",,"- Text giữ nguyên style, có thêm bullet dot phía trước   
- Highlight icon bullet list trên quickbar",50
,,,,,,,,,,,,,,,,"Enter xuống dòng, nhập text ""Edit more"" 

",,"Tự động thêm dot khi enter xuống dòng

",50
,,,,,,,,,,,,,,,,"Click icon bullet đang được highlight trên quickbar, nhập text "" Rightnow""",,"Text giữ nguyên style, ko có bullet ở phía trước",50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,50
73715,1416,SB_WEB_BUILDER_BH_11,Heading tag\_Check khi setting Heading tag,1,,"Check khi setting Heading tag

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, 1 block Heading

",1,1,0,0,11,30,,0,"Click vào block Heading

",,"Quickbar: hiển thị default heading tag: <h1>


",50
,,,,,,,,,,,,,,,,"Setting Heading tag từ h1 -> h6

",,"Text vẫn giữ nguyên style, chỉ thay đổi thẻ tương ứng trong mã HTML 

",50
94907,1416,SB_WEB_BUILDER_LB_BH_10,Check interaction states của các loại text link,1,30,"Check interaction states của các loại text link

","- Login on shop test    
+ shop: au-sf-interaction.onshopbase.com  
- acc: ""front-qe-1@beeketing.net""  
- pass: ""Front@123""  
- Setup 1 theme bất kỳ và publish có các block: heading, paragraph, bullet, toggle list, block html sử dụng description product có gắn hyperlink  
- Mở SF của các page có chứa block setup trên  
  
1. Env Dev: dpro-qe-1@beeketing.net / 43AhIn|VWp;[?9&  
- Shop: <https://au-interaction-states.myshopbase.net/>  
  
2. Env Prodtest: dpro-qe-2@beeketing.net / [Dpro@123](mailto:Dpro@123)  
- Shop: <https://interaction-prodtest.onshopbase.com>  
  
3. Env prod: [trangle@beeketing.net](mailto:trangle@beeketing.net) / trang14021998  
- Shop: https://onb-gen-prod.onshopbase.com  
  
  
- Design: <https://www.figma.com/file/R1BQoafo2EJJq5koITiKzk/branch/Sr0N47p15vzyfpb59sUhjr/Webfront-kit?node-id=12717%3A39925&mode=dev> 

",1,0,0,0,12,25,341,0,"Hover vào text có hyperlink

","a. Underlined  
b. Underlined after hover

","Text color & underline color = setting, opacity 75%


a. Show animation underline có khoảng trắng chạy từ trái qua phải   
Demo: <https://www.figma.com/proto/R1BQoafo2EJJq5koITiKzk/branch/Sr0N47p15vzyfpb59sUhjr/Webfront-kit?page-id=12667%3A36428&type=design&node-id=12667-39392&viewport=515%2C429%2C0.3&t=xkVClgI7NiHTPr3Y-1&scaling=min-zoom>   
  
- Riêng với block HTML mà textlink tạo bởi text editor khi có set underline thì không apply animation. Còn textlink tạo bởi text editor không set underline thì vẫn apply animation.


b. Hiển thị underline, animation chạy từ trái qua phải  
Demo: <https://www.figma.com/proto/R1BQoafo2EJJq5koITiKzk/branch/Sr0N47p15vzyfpb59sUhjr/Webfront-kit?page-id=12667%3A36428&type=design&node-id=12717-39957&viewport=799%2C-257%2C1.47&t=242sqi1fI14gDroE-1&scaling=min-zoom> 


- Block HTML textlink tạo bởi text editor không set underline thì vẫn apply animation.


 

",50
,,,,,,,,,,,,,,,,"Hover chuột ra khỏi hyperlink

","a. Underlined  
b. Underlined after hover

","a. Animation chạy từ phải qua trái  
b. Animation ẩn underline từ trái qua phải

",50
,,,,,,,,,,,,,,,,"Press vào hyperlink

",,"- Hiển thị clickzone với height = line-height của label width theo width của label  
- Clickzone color = #081708 opacity 5%

",50
,,,,,,,,,,,,,,,,"Check disabled text link (hiện tại chưa có states này)

",,"Opacity 40%

",50
75136,1416,SB_WEB_BUILDER_BH_12,Check line-height của text trong block Heading khi thay đổi fontsize,1,,Check line-height của text trong block Heading khi thay đổi fontsize,"- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Setting Fonts ở Web style:   
+ Heading 1: 64px  +Heading 2: 56px   +Heading 3: 48px     +Heading 4: 40px    +Para1: 24px    +Para2: 16px    +Para3: 12px  
- Override Website style = Off  
- Đã add section A gồm 1 row, 1 column",1,0,0,,12,187,,0,Add 1 block Heading vào section,,"Block có các setting mặc định: + Nội dung: "" Edit your title here"" + Font-size: Heading 1 + Tag: <H1>   
Line-height= 130% font-size",50
,,,,,,,,,,,,,,,,Thay đổi font-size của block Heading vừa add thành Paragraph3,,"Font- size hiển thị tương ứng, line-height= 160% font-size",50
,,,,,,,,,,,,,,,,Thay đổi font-size của block Paragraph vừa add thành Heading 1,,"Font- size hiển thị tương ứng, line-height= 130% font-size",50
94908,1416,SB_WEB_BUILDER_LB_BH_11,Check clickzone của các loại text link,1,30,"Check clickzone của các loại text link

","- Login on shop test    
+ shop: au-sf-interaction.onshopbase.com  
- acc: ""front-qe-1@beeketing.net""  
- pass: ""Front@123""  
- Setup 1 theme bất kỳ và publish có các block: heading, paragraph, bullet, toggle list, html có gắn hyperlink  
- Mở SF của các page có chứa block setup trên  
  
1. Env Dev: dpro-qe-1@beeketing.net / 43AhIn|VWp;[?9&  
- Shop: <https://au-interaction-states.myshopbase.net/>  
  
2. Env Prodtest: dpro-qe-2@beeketing.net / [Dpro@123](mailto:Dpro@123)  
- Shop: <https://interaction-prodtest.onshopbase.com>  
  
3. Env prod: [trangle@beeketing.net](mailto:trangle@beeketing.net) / trang14021998  
- Shop: https://onb-gen-prod.onshopbase.com  
  
- Design: <https://www.figma.com/file/R1BQoafo2EJJq5koITiKzk/branch/Sr0N47p15vzyfpb59sUhjr/Webfront-kit?node-id=12717%3A39925&mode=dev> 

",0,0,0,0,13,25,341,0,"Click vào label text

",,"Thành công redirect tới link đc gắn

",50
75137,1416,SB_WEB_BUILDER_BH_13,Check hiển thị paragraph spacing ở block Heading,1,187,Check hiển thị paragraph spacing ở block Heading,"- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Setting Fonts ở Web style:   
+ Heading 1: 64px  +Heading 2: 56px   +Heading 3: 48px     +Heading 4: 40px    +Para1: 24px    +Para2: 16px    +Para3: 12px  
- Override Website style = Off  
- Đã add section A gồm 1 row, 1 column",1,0,0,,13,187,,0,Add 1 block Heading vào section A,,"Block có các setting mặc định: + Nội dung: "" Edit your title here"" + Font-size: Heading 1 + Tag: <H1>",50
,,,,,,,,,,,,,,,,Edit text có 2 paragraph,"Your time is limited, so don’t waste it living someone else’s life.  
Don’t be trapped by dogma – which is living with the results of other people’s thinking.","Block hiển thị text vừa input, có Paragraph spacing =80% font-size (44.8 px)",50
,,,,,,,,,,,,,,,,Thay đổi font-size của block Paragraph thành Paragraph 1,,"Block hiển thị text vừa input, có Paragraph spacing =80% font-size (19.2 px)",50
79587,1416,SB_WEB_BUILDER_LB_BH_01,Check width height block heading,1,,"Check width height block heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, block Heading 1 (text nhiều dòng)  
- Position static = ON

",1,0,0,0,14,187,,0,"Click vào block heading

",,"Hiển thị block setting ở sidebar

",50
,,,,,,,,,,,,,,,,"Setting width = px, height = px

",,"Trên preview hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Setting width = px, height = %

",,"Trên preview hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Setting width = px, height = auto

",,"- Trên preview hiển thị đúng width height đã setting, text sẽ không tràn viền,   
- Chiều cao của Block tăng theo dòng mới tạo do chữ drop xuống

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"- Hiển thị đúng width height đã setting, text sẽ không tràn viền,   
- Chiều cao của Block tăng theo dòng mới tạo do chữ drop xuống

",50
,,,,,,,,,,,,,,,,"Setting width = %, height = px

",,"Trên preview hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Setting width = %, height = %

",,"Trên preview hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Setting width = %, height = auto

",,"- Trên preview hiển thị đúng width height đã setting, text sẽ không tràn viền,   
- Chiều cao của Block tăng theo dòng mới tạo do chữ drop xuống

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"- Hiển thị đúng width height đã setting, text sẽ không tràn viền,   
- Chiều cao của Block tăng theo dòng mới tạo do chữ drop xuống

",50
,,,,,,,,,,,,,,,,"Setting width = auto, height = px

",,"Trên preview hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Setting width = auto, height = %

",,"Trên preview hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng width height đã setting, text lớn hơn khung thì sẽ tràn khỏi khung

",50
,,,,,,,,,,,,,,,,"Setting width = auto, height = auto

",,"- Trên preview hiển thị đúng width height đã setting, text sẽ không tràn viền,   
- Text nhập đến đâu, width tự tăng đến đó, chạm viền collumng thì text tự động drop xuống  
- Chiều cao của Block tăng theo dòng mới tạo do chữ drop xuống

",50
