case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
,,,,,,,,,,,,,,,,"Tại sidebar, click tab Design, tab Seperator, chọn option:  Double Arrow -> Save 

",,"- Ngay khi chọn 0.3s hiển thị tại mục preview breadcrumb dạng double arrow: https://imgur.com/hZvD6H6      
- Tại web front của product hiển thị breadcrumb tương ứng với thay đổi trong web builder 

",50
,,,,,,,,,,,,,,,,"Tại sidebar, click tab Design, tab Seperator, chọn option: Dot icon -> Save 

",,"- Ngay khi chọn 0.3s hiển thị tại mục preview breadcrumb dạng dot icon: https://imgur.com/zIs3HDb     
- Tại web front của product hiển thị breadcrumb tương ứng với thay đổi trong web builder

",50
80139,1700,SB_WEB_BUILDER_PRD_03,Verify chỉnh sửa tab design của block breadcrumb,1,268,"Verify chỉnh sửa tab design của block breadcrumb

","- Shop: https://sbase-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@     
- Đã có product ""Test block Breadcrumb"" đã add block Breadcrumb     
- Đi đến màn WB chỉnh sửa block breadcrumb      
- Đi đến web front của product đang edit block breadcrumb

",1,0,0,0,5,25,,0,"Tại sidebar, click tab Design

",,"Current item:    
+ Màu chữ: Color 5, opacity 1    
+ Font chữ: paragragh 3 


not selected item:      
+ Màu chữ: Color 5, opacity 0.48      
+ Font chữ: paragragh 3

",50
,,,,,,,,,,,,,,,,"Hover vào 1 item not selected

",,"Thay đổi item thành có opacity 1, pointer đổi thành hình bàn tay

",50
,,,,,,,,,,,,,,,,"Bỏ hover khỏi item đó

",,"Đổi item thành có opacity 0.48

",50
,,,,,,,,,,,,,,,,"Edit các common setting của 1 block theo input data  

","Data table: https://docs.google.com/spreadsheets/d/1sfpZnjgKDzF\_uxH8r\_loziBGOQVLTgp1/edit#gid=829793137

","Tại preview và webfront preview hiển thị tương ứng các thay đổi vừa setting trong sidebar

",50
84819,1700,SB_WEB_BUILDER_PRD_34,Verify resize width của block Breadcrumb,1,268,"Verify resize width của block Breadcrumb

",,1,0,0,0,6,25,,0,"Resize giảm width của block 

",,"Khi resize width block nhỏ hơn tổng width của các item, current item truncate

",50
,,,,,,,,,,,,,,,,"Resize tăng width của block

",,"Hiển thị tương ứng với setting

",50
82168,1700,SB_WEB_BUILDER_PRD_71,block\_breadcrumb Verify ghép thành công các block thành product page details hoàn chỉnh,0,,"block\_breadcrumb Verify ghép thành công các block thành product page details hoàn chỉnh

","- Shop: https://wb-block-button.onshopbase.com/  
- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F

",0,0,0,0,6,25,119,0,"Tạo 1 product. Đi đến màn design của product đó

",,"Hiển thị trang Product detail hoàn chỉnh: https://www.figma.com/file/zjX5lajV1FOT0uSbNxFDky/Storefront-ShopBase-Creator?node-id=11642%3A55208&t=jX1J45JyVKdd4Emp-4 chứa các block:  
+ Block Breadcumb  
+ Block Price  
+ Block variant picker  
+ Block Quantity selector  
+ Block Add to Cart  
+ Block Buy now  
+ Block rating  
+ Block reviews

",50
,,,,,,,,,,,,,,,,"Vào Online store -> Explore more templates -> Themes -> chọn themes Criadora -> add theme -> Customize -> Add new section -> Chọn data source là product vừa tạo 

",,"Hiển thị trang Product detail hoàn chỉnh: https://www.figma.com/file/zjX5lajV1FOT0uSbNxFDky/Storefront-ShopBase-Creator?node-id=11642%3A55208&t=jX1J45JyVKdd4Emp-4 chứa các block:  
+ Block Breadcumb  
+ Block Price  
+ Block variant picker  
+ Block Quantity selector  
+ Block Add to Cart  
+ Block Buy now  
+ Block rating  
+ Block reviews

",50
80459,1700,SB_WEB_BUILDER_PRD_5,Verify webfront interaction,1,42,"Verify webfront interaction

","- Shop: https://sbase-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@     
- Product ""Test block Breadcrumb"" thuộc collection Clothing    
- Blog post "" Blog test breadcrumb"" thuộc Blog ""Test""    
- Đi đến màn WB chỉnh sửa block breadcrumb      
- Đi đến web front của product đang edit block breadcrumb

",1,0,0,0,7,25,,0,"Vào trực tiếp detail của blog post từ Home

","blog post:  ""Blog test breadcrumb""

","Breadcrumb là: Home / Test / Blog test breadcrumb

",50
,,,,,,,,,,,,,,,,"Click chuột phải vào 1 item chưa selected, mở 1 tab mới

","1.Item ""Home""    
2. Item "" Test""

","1. Mở page tương ứng ở đây là page Home    
2. Mở page tương ứng ở đây là page blog Test

",50
,,,,,,,,,,,,,,,,"Click vào 1 item chưa được select

","1.Item ""Home""    
2. Item "" Test""

","1. Mở page tương ứng ở đây là page Home    
2. Mở page tương ứng ở đây là page blog Test

",50
,,,,,,,,,,,,,,,,"Vào trực tiếp product detail của product  từ collection

","product:  ""Test block Breadcrumb""

","Breadcrumb là: Home / Clothing / Test block Breadcrumb

",50
,,,,,,,,,,,,,,,,"Click chuột phải vào 1 item chưa selected, mở 1 tab mới

","1.Item ""Home""    
2. Item "" Clothing""

","1. Mở tab mới và page tương ứng ở đây là page Home    
2. Mở tab mới page tương ứng ở đây là page Collection Clothing

",50
,,,,,,,,,,,,,,,,"Click vào 1 item chưa được select

","1.Item ""Home""    
2. Item "" Clothing""

","1. Mở page tương ứng ở đây là page Home    
2. Mở page tương ứng ở đây là page Collection Clothing

",50
,,,,,,,,,,,,,,,,Vào trực tiếp product detail của product từ Home,"product:  ""Test block Breadcrumb""",Breadcrumb là: Home / All / Test block Breadcrumb,50
,,,,,,,,,,,,,,,,"Click chuột phải vào 1 item chưa selected, mở 1 tab mới","1.Item ""Home""    
2. Item "" All""","1. Mở page tương ứng ở đây là page Home    
2. Mở page tương ứng ở đây là page All products",50
,,,,,,,,,,,,,,,,Click vào 1 item chưa được select,"1.Item ""Home""    
2. Item "" All""","1. Mở page tương ứng ở đây là page Home    
2. Mở page tương ứng ở đây là page All products",50
,,,,,,,,,,,,,,,,"Tại web builder product detail page, Click vào 1 item chưa được select","1.Item ""Home""   
2. Item "" All""","Không có action gì xảy ra, không thể thực hiện các interaction với webfront ở webfront preview trong web builder do sẽ bị conflict với action chọn block.",50
84820,1700,SB_WEB_BUILDER_PRD_35,Verify block Breadcrumb không có ở shop creator,1,268,"Verify block Breadcrumb không có ở shop creator

","- Shop: https://Creator-production.onshopbase.com/    
- Acc: hoanguyen3@beeketing.net / Hoa1510@     
- Online store -> Theme -> Chọn customize theme Criadora -> Chọn Product details page    
- Đã add black section

",1,0,0,0,8,25,,0,"Click ""Add block"" trong blank section

",,"Hiển thị drawer Insert block

",50
,,,,,,,,,,,,,,,,"Search ""Breadcrumb"" trên drawer Insert block

",,"Không tồn tại block ""Breadcrumb""

",50
96936,1700,SB_WEB_BUILDER_LB_BBC_30,Kiểm tra setting breadcrumb trên các page khác trên WB và SF,1,355,Kiểm tra setting breadcrumb trên các page khác của WB và trên SF,"1. User đăng nhập vào ShopBase   
user: dpro-qe-1@beeketing.net  
pass: 43AhIn|VWp;[?9&  
shopid:10336689   
shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   
- Collection list X  
- Collection list Y  
3. Product đã setup sẵn:   
- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   
- Product B chỉ nằm trong collection 1   
- Product C không nằm trong collection nào.   
4. Đăng nhập vào Web builder => Product details A  
5. Add Block BreadCrumb cho product   
6. Enable FS related collection

",0,0,0,0,50,25,136,0,Kiểm tra setting của breadcrumb cho các page khác thuộc Store,"Blog, Collection, Blog post, Search result, Cart, Checkout, Thank you page",Không hiển thị setting related collection. Vẫn hiển thị setting như cũ,50
,,,,,,,,,,,,,,,,Kiểm tra setting của breadcrumb cho các page khác thuộc Member page,"My profile, Wishlist, Sign in, Sign up, Order history, Change password",Không hiển thị setting related collection. Vẫn hiển thị setting như cũ,50
,,,,,,,,,,,,,,,,Kiểm tra setting của breadcrumb cho các page khác thuộc System page,"Error, 404",Không hiển thị setting related collection. Vẫn hiển thị setting như cũ,50
96927,1700,SB_WEB_BUILDER_LB_BBC_29,Kiểm tra giao diện design thay đổi,1,,"Kiểm tra giao diện thay đổi tab design

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",0,0,0,0,50,25,136,0,"1. Kiểm tra chức năng resize 

",,"Hiển thị đúng theo design:   

https://www.figma.com/file/9J11n3j1lG01kkCASUhmjc/branch/ikPwNcrNr0TyOXaaP6p6Ql/%5B-WB-%5D-Blocks?type=design&node-id=77063-65109&mode=design&t=vQosxe10zw7q3kpA-0

",50
,,,,,,,,,,,,,,,,"2. Kiểm tra hint text

",,"Hiển thị đúng hint text theo design

",50
,,,,,,,,,,,,,,,,"3 Kiểm tra Tab Design

",,"Hiển thị đúng các setting theo design

",50
96926,1700,SB_WEB_BUILDER_LB_BBC_28,Kiểm tra max length và các giá trị có thể nhập ở prefix text,1,,"Check block breadcrumb khi nhập text bất kỳ vào trường prefix text

","1. User đăng nhập vào ShopBase   
user: dpro-qe-1@beeketing.net  
pass: 43AhIn|VWp;[?9&  
shopid:10336689   
shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   
- Collection list X  
- Collection list Y  
3. Product đã setup sẵn:   
- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   
- Product B chỉ nằm trong collection 1   
- Product C không nằm trong collection nào.   
4. Đăng nhập vào Web builder => Product details A  
5. Add Block BreadCrumb cho product   
6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data normal ở prefix

","- related\_collection = Yes  
- Prefix = ""You may also like to check""

","Hiển thị breadcrumb trên preview panel:  
You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"2. Click chọn show related collection, input data = max length ở prefix

","- related\_collection = Yes  
- Prefix = ""You may also like to checkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk""

","Hiển thị breadcrumb trên preview panel:  
You may also like to checkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk: Home > X > A

",50
,,,,,,,,,,,,,,,,"3. Click chọn show related collection, input data  > max length ở prefix

","- related\_collection = Yes  
- Prefix = ""You may also like to checkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk123""

","Tự động cắt  text vượt quá 100 ký tự.  
Hiển thị breadcrumb trên preview panel:  
You may also like to checkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk: Home > X > A

",50
,,,,,,,,,,,,,,,,"4. Click chọn show related collection, input data là các ký tự đặc biệt ở prefix

","- related\_collection = Yes  
- Prefix = ""@!3~You may also like""

","Hiển thị breadcrumb trên preview panel:  
@!3~You may also like: Home > X > A

",50
96925,1700,SB_WEB_BUILDER_LB_BBC_27,Kiểm tra không nhập prefix text,1,,"Kiểm tra breadcrumb khi không nhập prefix text

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",0,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix

","- related\_collection = Yes  

- Prefix = "" ""

","Hiển thị breadcrumb trên preview panel:  

Home > X > A

",50
,,,,,,,,,,,,,,,,"2. Vào SF Home -> product details

",,"Hiển thị breadcrumb:   

Home > X > B

",50
,,,,,,,,,,,,,,,,"3. Vào Collection X  -> product details

",,"Hiển thị breadcrumb:   

Home > X > B

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile Collection X  -> product details

",,"Hiển thị breadcrumb:   

Home > X > B

",50
,,,,,,,,,,,,,,,,"4. Click link trên related collection

",,"Redirect sang page collection X

",50
96924,1700,SB_WEB_BUILDER_LB_BBC_26,Kiểm tra breadcrumb khi ẩn Home/ current page trường hợp product không thuộc collection nào,1,,"Kiểm tra breadcrumb khi ẩn Home/ Current page và product không thuộc collection nào

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details C  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix, chọn toggle button cho Hide Home, Hide Current page  & save setting

","- related\_collection = Yes  

- Prefix = ""You may also like to check""  

- Hide Home = yes   

- Hide current page = yes

","Hiển thị breadcrumb trên preview panel: Ẩn block breadcrumb

",50
,,,,,,,,,,,,,,,,"2. Vào SF Home -> product details C

",,"Không hiển thị breadcrumb

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile Home -> product details C

",,"Không hiển thị breadcrumb

",50
96923,1700,SB_WEB_BUILDER_LB_BBC_25,Kiểm tra breadcrumb khi ẩn thông tin Home và current page,1,,"Kiểm tra breadcrumb khi ẩn Home/ Current page khi product thuộc ít nhất 1 collection

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix, chọn toggle button cho Hide Home, Hide Current page  & save setting

","- related\_collection = Yes  

- Prefix = ""You may also like to check""  

- Hide Home = yes   

- Hide current page = yes

","Hiển thị breadcrumb trên preview panel:   

You may also like to check: > X

",50
,,,,,,,,,,,,,,,,"2. Vào Collection X  -> product details

",,"Hiển thị breadcrumb:   

You may also like to check: > X

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile Collection X => Product details

",,"Hiển thị breadcrumb:   

You may also like to check: > X

",50
,,,,,,,,,,,,,,,,"3. Click link trên related collection

",,"Redirect sang page collection X

",50
96922,1700,SB_WEB_BUILDER_LB_BBC_24,Kiểm tra product thuộc nhiều hơn 1 collection khi vào từ collection được set hiển thị,1,,"Kiểm tra breadcrumb cho product thuộc  hơn 1 collection khi vào product details từ collection được set hiển thị related collection

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix  & save setting

","- related\_collection = Yes  

- Prefix = ""You may also like to check""

","Hiển thị breadcrumb trên preview panel:   

You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"2. Vào SF =>  Collection X  -> product details

",,"Hiển thị breadcrumb :   

You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile Collection X => Product details

",,"Hiển thị breadcrumb :   

You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"3. Click link trên related collection

",,"Redirect sang page collection X

",50
96921,1700,SB_WEB_BUILDER_LB_BBC_23,Kiểm tra product thuộc nhiều hơn 1 collection khi vào từ collection không được set hiển thị,1,,"Kiểm tra breadcrumb cho product thuộc  hơn 1 collection khi vào product details từ collection không được set hiển thị related collection

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix  & save setting

","- related\_collection = Yes  

- Prefix = ""You may also like to check""

","Hiển thị breadcrumb trên preview panel:   

You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"2. Vào SF =>  Collection Y  -> product details

",,"Hiển thị breadcrumb :   

You may also like to check: Home > Y > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile Collection Y => Product details

",,"Hiển thị breadcrumb :   

You may also like to check: Home > Y > A

",50
,,,,,,,,,,,,,,,,"3. Click link trên related collection

",,"Redirect sang page collection Y

",50
96920,1700,SB_WEB_BUILDER_LB_BBC_22,Kiểm tra product thuộc nhiều hơn 1 collection khi vào từ Home,1,,"Kiểm tra breadcrumb cho product thuộc  hơn 1 collection khi vào product details từ Home

","1. User đăng nhập vào ShopBase   
user: dpro-qe-1@beeketing.net  
pass: 43AhIn|VWp;[?9&  
shopid:10336689   
shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   
- Collection list X  
- Collection list Y  
3. Product đã setup sẵn:   
- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   
- Product B chỉ nằm trong collection 1   
- Product C không nằm trong collection nào.   
4. Đăng nhập vào Web builder => Product details A  
5. Add Block BreadCrumb cho product   
6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix  & save setting

","- related\_collection = Yes  
- Prefix = ""You may also like to check""

","Hiển thị breadcrumb trên preview panel:   
You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"2. Vào SF Home -> product details

",,"Hiển thị breadcrumb trên:   
You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile Home => Product details

","Sửa data trên url viết hoa chữ cái đầu tiên của X ( collection)  
ví dụ : <https://5k-product.sbprod.top/collections/Collection-auto-2/products/goku-saiyan-blue-j1-sneakers-super-leather> ","Hiển thị breadcrumb trên:   
You may also like to check: Home > X > A

",50
,,,,,,,,,,,,,,,,"4. Click link trên related collection

",,"Redirect sang page collection X

",50
96919,1700,SB_WEB_BUILDER_LB_BBC_21,Kiểm tra product chỉ thuộc 1 collection duy nhất,1,,"Kiểm tra breadcrumb cho product thuộc 1 collection duy nhất khi vào product details

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection X  

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details B  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix  & save setting

","- related\_collection = Yes  

- Prefix = ""You may also like to check""

","Hiển thị breadcrumb trên preview panel:   

You may also like to check: Home > X > B

",50
,,,,,,,,,,,,,,,,"2. Vào SF Home -> product details

",,"Hiển thị breadcrumb:   

You may also like to check: Home > X > B

",50
,,,,,,,,,,,,,,,,"3. Vào Collection X  -> product details

",,"Hiển thị breadcrumb:   

You may also like to check: Home > X > B

",50
,,,,,,,,,,,,,,,,"4. Kiểm tra hiển thị ở SF Mobile

",,"Hiển thị breadcrumb:   

You may also like to check: Home > X > B

",50
,,,,,,,,,,,,,,,,"5. Click link trên related collection

",,"Redirect sang page collection X

",50
