case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
,,,,,,,,,,,,,,,,"Click tab Media-> Click Image -> paste 1 link youtube bất kỳ vào field Video URL

",,"Show dropdown Action ở vị trí cuối cùng của popup  

https://prnt.sc/UCbLr7pWM-BK

",50
,,,,,,,,,,,,,,,,"Click dropdown Action

",,"Show data như ảnh:  

https://prnt.sc/4PMh9foUgNEi

",50
,,,,,,,,,,,,,,,,"Select [Open a link]

",,"- Hiển thị field Target URL  

- turn on toggle Open in new tab

",50
,,,,,,,,,,,,,,,,"Input data field Target URL: 

","https://manual-ne-04.myshopbase.net/blogs/go-lang

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click video ở slide 1

",,"Open page https://manual-ne-04.myshopbase.net/blogs/go-lang  

 trong tab mới

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Go to page]

",,"Hiển thị dropdown Page:  

https://prnt.sc/s9fg\_izhhg8E

",50
,,,,,,,,,,,,,,,,"Ở dropdown Page, chọn 1 page bất kỳ

","Page = All products

",,50
,,,,,,,,,,,,,,,,"Turn off toggle [Open in new tab] -> Click Save

",,,50
,,,,,,,,,,,,,,,,"Open storefront -> Click vào slide 1

",,"Redirect tới trang https://test-insert-panel-1.myshopbase.net/collections/all

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Go to section]

",,"Show dropdown section: https://prnt.sc/7Fi7yc0pRHBm

",50
,,,,,,,,,,,,,,,,"Chọn 1 section bất kỳ trong dropdown

","Section = section A

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click vào slide 1

",,"Redirect to section A

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select [Make a call]

",,"Hiển thị field Phone Number:  

https://prnt.sc/wtLsXmL0\_OZx

",50
,,,,,,,,,,,,,,,,"Input data vào field Phone Number

","987654321

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click image ở slide 1

",,"Open popup Phone link:   

https://prnt.sc/NlKqxulpPmNd

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Send email to]

",,"Show field Email  

https://prnt.sc/R7h4P1hi0so0

",50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click vào slide 1

",,"Show popup select email app  

https://prnt.sc/Jt3bl6OD-Dpn

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Copy to clipboard]

",,"Show field Content: https://prnt.sc/N32ydiSrpA2A

",50
,,,,,,,,,,,,,,,,"Input data vào field Content

","abc

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click vào slide 1 -> Paste ở new tab

",,"Show content `abc`

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Open a popup]

",,"Hiển thị field Popup: https://prnt.sc/S\_V6q3Ub5wyz

",50
,,,,,,,,,,,,,,,,"Select popup = Cart drawer

",,,50
,,,,,,,,,,,,,,,,"Back to dashboard -> select Action = [Go to checkout]

",,"Open cart drawer

",50
,,,,,,,,,,,,,,,,,,"Show lại toggle Open in new tab https://prnt.sc/nUWx0g\_2DTB3

",50
,,,,,,,,,,,,,,,,"Turn off toggle [Open in new tab] 

",,,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront -> Click vào slide 1

",,"Redirect to checkout page

",50
,,,,,,,,,,,,,,,,"Back to dashboard -> click button [Add slide]

",,"Ở sidebar hiển thị thêm 1 slide có tên slide 2

",50
,,,,,,,,,,,,,,,,"Click vào icon settings của Slide 2

",,,50
,,,,,,,,,,,,,,,,"Click tab Media của Slide 2

",,,50
,,,,,,,,,,,,,,,,"Click dropdown Action

",,"Show data như ảnh:  

https://prnt.sc/4PMh9foUgNEi

",50
,,,,,,,,,,,,,,,,"Select [Open a link]

",,"- Hiển thị field Target URL  

- turn on toggle Open in new tab

",50
,,,,,,,,,,,,,,,,"Input data field Target URL: 

","https://manual-ne-04.myshopbase.net/blogs/go-lang

",,50
,,,,,,,,,,,,,,,,"Click Save -> Open storefront 

",,,50
,,,,,,,,,,,,,,,,"Click vào slide 1

",,"Redirect to checkout page

",50
,,,,,,,,,,,,,,,,"Click vào slide 2

",,"Open page https://manual-ne-04.myshopbase.net/blogs/go-lang  

 trong tab mới

",50
82005,1583,SB_WEB_BUILDER_LB_SLS_02,Check remove block slideshow,0,,,Web builder đã có block slideshow và đã save,1,0,0,,2,238,,0,Click vào block slideshow,,"- Block có trạng thái selected  
- Sidebar hiển thị detail style/settings của block slideshow",50
,,,,,,,,,,,,,,,,Ấn remove ở sidebar/quickbar settings,,"- Sidebar back trở về layers list  
- Block slideshow không hiển thị ở cả sidebar và webfront preview nữa",50
,,,,,,,,,,,,,,,,Ấn Save sau đó ấn Preview,,"- Mở màn Preview  
- Không hiển thị block slideshow ở màn preview",50
82008,1583,SB_WEB_BUILDER_LB_SLS_03,"Check edit layout block slideshow khi đã setup content, buttons",0,,,"Product đã được apply template  
Có block slideshow default  
https://prnt.sc/3t3fOh7Ro4lj",1,1,0,,3,30,,0,Click vào block,,Hiển thị quickbar settings,50
,,,,,,,,,,,,,,,,Click Items layout,,Hiển thị 2 options layout,50
,,,,,,,,,,,,,,,,Chọn layout Split,,"- Nội dung content, vị trí buttons được đồng bộ theo layout mới tương ứng",50
,,,,,,,,,,,,,,,,Save và đi đến màn preview,,Block slideshow với layout mới hiển thị ở preview,50
,,,,,,,,,,,,,,,,Edit layout Full,,"- Nội dung content, vị trí buttons được đồng bộ theo layout mới tương ứng  
- Content color (Filled color cũ) luôn hiển thị trên background color/image",50
,,,,,,,,,,,,,,,,Save và đi đến màn preview,,Block slideshow với layout mới hiển thị ở preview,50
82007,1583,SB_WEB_BUILDER_LB_SLS_04,"Check edit layout block slideshow khi không setup content, tắt buttons",0,,,"Product đã được apply template  
Có block slideshow, không chứa content, buttons  
https://prnt.sc/3t3fOh7Ro4lj",1,1,0,,4,30,,0,Click vào block,,Hiển thị quickbar settings,50
,,,,,,,,,,,,,,,,Click items layout,,Hiển thị 2 options layout cho block slideshow,50
,,,,,,,,,,,,,,,,Chọn layout split,,- Block hiển thị theo đúng layout,50
,,,,,,,,,,,,,,,,Save và đi đến preview,,Block slideshow với layout mới hiển thị tại màn preview,50
82009,1583,SB_WEB_BUILDER_LB_SLS_05,Check duplicate block slideshow,0,,,"Product đã được apply template  
Có block slideshow default  
https://prnt.sc/3t3fOh7Ro4lj",1,1,0,,5,238,,0,Click vào block,,Hiển thị quickbar settings,50
,,,,,,,,,,,,,,,,Click Duplicate,,"- Tạo 1 bản copy toàn bộ nội dung, style của block slideshow ở ngay dưới block gốc  
- Tự động select vào block duplicate.",50
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block duplicate giống với block gốc,50
82010,1583,SB_WEB_BUILDER_LB_SLS_06,Check hide/show block slideshow,0,,,"Product đã được apply template  
Có block slideshow default  
https://prnt.sc/3t3fOh7Ro4lj",1,0,0,,6,238,,0,Click vào block,,Hiển thị quickbar settings,50
,,,,,,,,,,,,,,,,Bấm hide,,Block bị ẩn khỏi webfront preview,50
,,,,,,,,,,,,,,,,Save và đi đến preview,,Block bị ẩn khỏi preview,50
,,,,,,,,,,,,,,,,Tại sidebar hover vào block slideshow bấm Show,,Block slideshow hiển thị lại ở webfront preview,50
,,,,,,,,,,,,,,,,Save và đi đến preview,,Block slideshow hiển thị tại preview,50
91762,1583,SB_WEB_BUILDER_LB_SLS_18,Check edit style của block slideshow,0,,,"Product đã được apply template    
Mở web builder    
Add sẵn block slideshow    
https://prnt.sc/3t3fOh7Ro4lj

",1,0,0,0,7,238,,0,"Click block slideshow

",,,50
,,,,,,,,,,,,,,,,"Ở tab Design edit Layout

","Split

","Ở block slideshow tại webfront preview:    
- Block slideshow được chia đôi thành 2 phần rõ ràng chỉ 1 bên có thể chứa content

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị layout split như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Content Filled color

","- Chọn màu bất kỳ    
- Chỉnh Opacity 80%(trên mã hex)

","Ở block slideshow tại webfront preview:    
- Nếu layout là Split -> sẽ nhìn rõ ràng background content đúng theo màu và opacity đã chỉnh.    
- Nếu layout là Full, background content apply cho toàn bộ size của block. Nếu block đã add image hoặc video thì image, video sẽ đè background color

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị Pagination thay đổi như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit content position

","Top - Left

","Content, buttons được align đến vị trí top left trong block slideshow

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow có content, buttons được align top-left

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Align, width

","- Align left    
- Width 50%

","Block được căn về sát phía bên trái của column    
Width = 50% column

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Height

","250 px

","Height của block hiển thị đúng 250px

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Common Background

","color preset 2

","Màu background thay đổi đúng với màu đã chọn

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Border

","Size m

","Block xuất hiện border size m bao quanh

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Opacity

","80%

","Block slideshow bị mờ đi, value css style value 0.8

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Radius

","- 50%    
- set border bất kỳ

","Hiển thị border bao quanh có 4 góc là đường cong

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Shadow

","Strong

","Block có hiệu ứng đổ bóng css style value 1

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Padding

","10, 20,10,20

","Hiển thị content bên trong có khoảng cách với viền block tương ứng đã set

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit Margin

","20,80,44,100

","Thay đổi khoảng cách giữa các block tương ứng như đã set

",50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
,,,,,,,,,,,,,,,,"Ở tab Design edit kết hợp các style

",,,50
,,,,,,,,,,,,,,,,"Save và đi đến preview

",,"Hiển thị block slideshow đúng như ở màn webfront preview

",50
82141,1583,SB_WEB_BUILDER_LB_SLS_07,Check edit style của block slideshow,0,,,"Product đã được apply template  
Mở web builder  
Add sẵn block slideshow  
https://prnt.sc/3t3fOh7Ro4lj",1,1,0,,7,238,,0,Click block slideshow,,,1
,,,,,,,,,,,,,,,,Ở tab Design edit Layout,Split,"Ở block slideshow tại webfront preview:  
- Block slideshow được chia đôi thành 2 phần rõ ràng chỉ 1 bên có thể chứa content",2
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị layout split như ở màn webfront preview,3
,,,,,,,,,,,,,,,,Ở tab Design edit Content Filled color,"- Chọn màu bất kỳ  
- Chỉnh Opacity 80%(trên mã hex)","Ở block slideshow tại webfront preview:  
- Nếu layout là Split -> sẽ nhìn rõ ràng background content đúng theo màu và opacity đã chỉnh.  
- Nếu layout là Full, background content apply cho toàn bộ size của block. Nếu block đã add image hoặc video thì image, video sẽ đè background color",4
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị Pagination thay đổi như ở màn webfront preview,5
,,,,,,,,,,,,,,,,Ở tab Design edit content position,Top - Left,"Content, buttons được align đến vị trí top left trong block slideshow",6
,,,,,,,,,,,,,,,,Save và đi đến preview,,"Hiển thị block slideshow có content, buttons được align top-left",7
,,,,,,,,,,,,,,,,Ở tab Design edit Common Position,Manual/auto,"- Manual: block sẽ có thêm z-index (lúc bỏ select block) và có thể di chuyển tuỳ thích trong column  
- Auto: ko có z-index (lúc bỏ select block) và nếu di chuyển trong column thì sẽ chuyển manual",10
,,,,,,,,,,,,,,,,"Ở tab Design edit Align, width","- Align left  
- Width 50%","Block được căn về sát phía bên trái của column  
Width = 50% column",12
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,13
,,,,,,,,,,,,,,,,Ở tab Design edit Height,250 px,Height của block hiển thị đúng 250px,14
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,15
,,,,,,,,,,,,,,,,Ở tab Design edit Common Background,color preset 2,Màu background thay đổi đúng với màu đã chọn,16
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,17
,,,,,,,,,,,,,,,,Ở tab Design edit Border,Size m,Block xuất hiện border size m bao quanh,18
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,19
,,,,,,,,,,,,,,,,Ở tab Design edit Opacity,80%,"Block slideshow bị mờ đi, value css style value 0.8",20
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,21
,,,,,,,,,,,,,,,,Ở tab Design edit Radius,"- 50%  
- set border bất kỳ",Hiển thị border bao quanh có 4 góc là đường cong,22
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,23
,,,,,,,,,,,,,,,,Ở tab Design edit Shadow,Strong,Block có hiệu ứng đổ bóng css style value 1,24
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,25
,,,,,,,,,,,,,,,,Ở tab Design edit Padding,"10, 20,10,20",Hiển thị content bên trong có khoảng cách với viền block tương ứng đã set,26
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,27
,,,,,,,,,,,,,,,,Ở tab Design edit Margin,"20,80,44,100",Thay đổi khoảng cách giữa các block tương ứng như đã set,28
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,29
,,,,,,,,,,,,,,,,Ở tab Design edit kết hợp các style,,,30
,,,,,,,,,,,,,,,,Save và đi đến preview,,Hiển thị block slideshow đúng như ở màn webfront preview,31
82179,1583,SB_WEB_BUILDER_LB_SLS_08,Check edit content block slideshow,0,,,"- Đã add block slideshow  
https://prnt.sc/3t3fOh7Ro4lj",1,1,0,,8,30,,0,Chọn block slideshow ở preview hoặc sidebar,,,1
,,,,,,,,,,,,,,,,Chọn Content,,"Default:  
- 3 slide  
- Auto play off

",2
,,,,,,,,,,,,,,,,Click edit slide 1,,"- Hiển thị popup có chứa 3 tab Content, Button, Background để user edit nội dung  
- Ở live preview tự động chuyển slide 1

",3
,,,,,,,,,,,,,,,,Click edit slide 2,,"- Hiển thị popup có chứa 3 tab Content, Button, Background để user edit nội dung  
- Ở live preview tự động chuyển đến slide 2",4
,,,,,,,,,,,,,,,,Click edit slide 3,,"- Hiển thị popup có chứa 3 tab Content, Button, Background để user edit nội dung  
- Ở live preview tự động chuyển đến slide 2",5
,,,,,,,,,,,,,,,,Click Add slide,"a. Click 1 lần  
b. Khi đã có 8 slide","a. Add thêm 1 slide mới với content default, wf tự động select vào slide mới add  
b. Không add được thêm slide (max 8 slide)",6
,,,,,,,,,,,,,,,,Drag and drop slide,"dnd Slide 2 lên vị trí slide 1

",- Thứ tự slide sẽ thay đổi 2-1 trên cả sidebar và preview,7
,,,,,,,,,,,,,,,,Click Delete,"a. Slide cuối  
b. Delete đến khi chỉ còn 1 slide","a. Slide cuối mất khỏi list slide  
b. Nút delete bị ẩn mất",8
,,,,,,,,,,,,,,,,Click Duplicate,"a. slide 1  
b. Duplicate > 8 lần","a. Sao chép slide 1 với content, style trùng khớp  
b. Duplicate lần 7 nút Add slide bị ẩn & user không duplicate được thêm nữa  
Khi duplicate thêm 1 slide nav sẽ tăng thêm 1 chấm max 8",9
,,,,,,,,,,,,,,,,Bật auto play,,"- Delay duration 3s  
- Pause on hover off",10
,,,,,,,,,,,,,,,,Edit delay duration và pause on hover,"- Delay 6s  
- Pause on hover: On

","Tự động chuyển slide kế tiếp sau 6s.  
Không tự động chuyển slide khi hover vào slide.",11
,,,,,,,,,,,,,,,,Save và Preview,,"Verify Element - HTML Tag:  
Sub heading -  h3  
Heading - h2  
Description - p  
theo data : <https://docs.google.com/spreadsheets/d/1KXvrzich2SkqEgdfxvXdRBSf6H3u28JSDV7t9cXCWrs/edit#gid=0>  
https://prnt.sc/Y4aFG9lb4m6u",12
